,Loss_State_Space
594,[2.8040337562561035]
595,[7.385111331939697]
596,[4.973517417907715]
597,[28.914859771728516]
598,[10.214679718017578]
599,[6.887155532836914]
600,[22.94441032409668]
601,[51.27653121948242]
602,[13.486666679382324]
603,[6.448904514312744]
604,[56.42677307128906]
605,[3.9160146713256836]
606,[10.94221305847168]
607,[24.918989181518555]
608,[16.861114501953125]
609,[29.016237258911133]
610,[9.49547290802002]
611,[3.2031869888305664]
612,[5.646816730499268]
613,[10.188851356506348]
614,[24.436660766601562]
615,[11.01597785949707]
616,[7.052175521850586]
617,[34.44868850708008]
618,[15.46429443359375]
619,[7.976872444152832]
620,[1.6493366956710815]
621,[7.280886650085449]
622,[15.283050537109375]
623,[11.00940227508545]
624,[29.37357521057129]
625,[6.331115245819092]
626,[11.642915725708008]
627,[4.953638553619385]
628,[19.935638427734375]
629,[17.193838119506836]
630,[4.289053440093994]
631,[10.092815399169922]
632,[3.550067901611328]
633,[7.577304840087891]
634,[5.036196708679199]
635,[4.929160118103027]
636,[14.655235290527344]
637,[100.88201904296875]
638,[9.484920501708984]
639,[11.401304244995117]
640,[11.159423828125]
641,[3.670722007751465]
642,[2.864305019378662]
643,[8.789579391479492]
644,[5.008086681365967]
645,[6.265508651733398]
646,[25.251766204833984]
647,[35.7596549987793]
648,[8.540139198303223]
649,[19.37001609802246]
650,[27.56643295288086]
651,[16.597185134887695]
652,[10.228117942810059]
653,[3.360294818878174]
654,[25.853450775146484]
655,[12.354060173034668]
656,[30.537220001220703]
657,[13.811115264892578]
658,[3.386502265930176]
659,[7.924038887023926]
660,[23.097694396972656]
661,[22.715145111083984]
662,[32.1320915222168]
663,[7.432144641876221]
664,[3.245037078857422]
665,[25.01308250427246]
666,[23.733922958374023]
667,[34.16539001464844]
668,[9.681926727294922]
669,[16.230932235717773]
670,[5.2007622718811035]
671,[6.488105773925781]
672,[26.80712890625]
673,[13.168453216552734]
674,[8.221949577331543]
675,[18.622011184692383]
676,[23.459510803222656]
677,[5.601910591125488]
678,[6.117822647094727]
679,[28.985687255859375]
680,[7.797541618347168]
681,[2.436616897583008]
682,[2.6493022441864014]
683,[24.791444778442383]
684,[55.60731887817383]
685,[25.2857666015625]
686,[3.7487637996673584]
687,[10.928674697875977]
688,[3.6410436630249023]
689,[7.068026542663574]
690,[9.496994972229004]
691,[2.83034610748291]
692,[10.381352424621582]
693,[4.54379940032959]
694,[4.773528099060059]
695,[1.2348804473876953]
696,[2.0713329315185547]
697,[2.1163525581359863]
698,[7.316387176513672]
699,[16.369028091430664]
700,[9.542461395263672]
701,[2.6085071563720703]
702,[2.3505940437316895]
703,[18.598247528076172]
704,[3.8425261974334717]
705,[19.345666885375977]
706,[10.385135650634766]
707,[5.419051170349121]
708,[6.808842182159424]
709,[4.312160015106201]
710,[3.089393138885498]
711,[6.17767333984375]
712,[5.5995707511901855]
713,[2.8845629692077637]
714,[49.47234344482422]
715,[2.290546417236328]
716,[3.631157398223877]
717,[30.205904006958008]
718,[14.48137092590332]
719,[15.749375343322754]
720,[3.2771079540252686]
721,[2.230452060699463]
722,[5.795413017272949]
723,[1.3560370206832886]
724,[1.81022047996521]
725,[2.9262399673461914]
726,[6.308302879333496]
727,[27.59510040283203]
728,[10.725841522216797]
729,[3.205190420150757]
730,[12.12159538269043]
731,[2.170785665512085]
732,[5.310343265533447]
733,[1.3983800411224365]
734,[22.067203521728516]
735,[11.793389320373535]
736,[8.632393836975098]
737,[6.453493118286133]
738,[2.2255263328552246]
739,[1.6744682788848877]
740,[1.9676707983016968]
741,[5.38767147064209]
742,[33.300071716308594]
743,[13.391181945800781]
744,[15.559205055236816]
745,[8.218305587768555]
746,[16.7373046875]
747,[5.3356733322143555]
748,[0.9414852857589722]
749,[1.34492826461792]
750,[4.511803150177002]
751,[1.5566105842590332]
752,[1.4460557699203491]
753,[3.8122730255126953]
754,[1.1247519254684448]
755,[1.171355962753296]
756,[4.482287883758545]
757,[10.340968132019043]
758,[6.988337516784668]
759,[8.561492919921875]
760,[8.08551025390625]
761,[3.484384059906006]
762,[19.278100967407227]
763,[0.9292216300964355]
764,[7.030154228210449]
765,[3.0955944061279297]
766,[1.7624801397323608]
767,[5.45418643951416]
768,[6.228671550750732]
769,[1.4180727005004883]
770,[5.686263561248779]
771,[1.358336091041565]
772,[6.091699123382568]
773,[1.887589931488037]
774,[27.829355239868164]
775,[37.2427978515625]
776,[21.657747268676758]
777,[21.775529861450195]
778,[9.108748435974121]
779,[1.8255670070648193]
780,[2.4749245643615723]
781,[6.196969032287598]
782,[2.7799205780029297]
783,[27.058618545532227]
784,[10.27729606628418]
785,[4.635486602783203]
786,[1.1469172239303589]
787,[5.271364212036133]
788,[1.9936600923538208]
789,[1.2132658958435059]
790,[1.5894372463226318]
791,[9.707082748413086]
792,[3.9182305335998535]
793,[1.15956711769104]
794,[1.9249941110610962]
795,[4.6942973136901855]
796,[4.974989891052246]
797,[9.900721549987793]
798,[3.6656737327575684]
799,[8.04312515258789]
800,[1.8514045476913452]
801,[1.0905234813690186]
802,[5.426718711853027]
803,[1.8746790885925293]
804,[6.497925758361816]
805,[7.947760581970215]
806,[1.6245548725128174]
807,[5.778798580169678]
808,[3.405457019805908]
809,[4.962041854858398]
810,[3.889941692352295]
811,[0.406350702047348]
812,[3.8365371227264404]
813,[1.2262964248657227]
814,[0.8445690870285034]
815,[4.152197360992432]
816,[1.195957064628601]
817,[2.0842461585998535]
818,[3.221552848815918]
819,[3.054635524749756]
820,[4.090212821960449]
821,[1.0265642404556274]
822,[2.567513942718506]
823,[2.2701449394226074]
824,[10.236096382141113]
825,[1.90536367893219]
826,[2.522721290588379]
827,[1.8327240943908691]
828,[28.18172836303711]
829,[3.115908145904541]
830,[1.1824935674667358]
831,[2.063045024871826]
832,[3.2609217166900635]
833,[6.217658519744873]
834,[1.6050595045089722]
835,[1.5231223106384277]
836,[2.642889976501465]
837,[3.520270347595215]
838,[8.169150352478027]
839,[2.8117289543151855]
840,[14.600198745727539]
841,[13.264211654663086]
842,[2.219242811203003]
843,[1.9660834074020386]
844,[1.2611310482025146]
845,[4.06418514251709]
846,[6.936903476715088]
847,[1.2386308908462524]
848,[3.701834201812744]
849,[1.9720559120178223]
850,[24.891408920288086]
851,[1.5514938831329346]
852,[0.8646925687789917]
853,[4.2375688552856445]
854,[13.753528594970703]
855,[3.4021358489990234]
856,[10.952386856079102]
857,[7.268425464630127]
858,[4.227940082550049]
859,[2.0643980503082275]
860,[2.5478737354278564]
861,[2.628460645675659]
862,[1.6050022840499878]
863,[9.227518081665039]
864,[13.964617729187012]
865,[1.3451392650604248]
866,[1.6229327917099]
867,[5.049365520477295]
868,[0.7488120794296265]
869,[2.391226291656494]
870,[0.5598299503326416]
871,[5.184226036071777]
872,[1.2601318359375]
873,[1.545616865158081]
874,[4.408172607421875]
875,[1.5063003301620483]
876,[1.364307165145874]
877,[1.9168812036514282]
878,[2.350670099258423]
879,[2.740229606628418]
880,[3.31508731842041]
881,[9.192266464233398]
882,[6.971887588500977]
883,[1.482663631439209]
884,[1.419106125831604]
885,[3.3310751914978027]
886,[1.7024635076522827]
887,[1.6196184158325195]
888,[1.2451421022415161]
889,[1.8905775547027588]
890,[0.6742151975631714]
891,[5.496014595031738]
892,[0.8002063632011414]
893,[1.4605244398117065]
894,[1.8487961292266846]
895,[2.844907522201538]
896,[0.7144884467124939]
897,[22.242610931396484]
898,[1.1086755990982056]
899,[0.6847656965255737]
900,[6.142826557159424]
901,[4.243349552154541]
902,[5.608100414276123]
903,[5.092099189758301]
904,[14.592339515686035]
905,[3.2552037239074707]
906,[5.520162105560303]
907,[0.8515807390213013]
908,[5.755019664764404]
909,[9.902957916259766]
910,[2.635650634765625]
911,[9.36941909790039]
912,[1.7988736629486084]
913,[3.003866195678711]
914,[1.1003652811050415]
915,[0.8420166373252869]
916,[1.2129396200180054]
917,[1.1646966934204102]
918,[0.9577979445457458]
919,[0.2943645119667053]
920,[3.092776298522949]
921,[0.8152508735656738]
922,[2.5424299240112305]
923,[1.8646748065948486]
924,[2.6913065910339355]
925,[1.7344783544540405]
926,[3.5538060665130615]
927,[0.6047168374061584]
928,[2.155622959136963]
929,[0.7688418626785278]
930,[1.067346215248108]
931,[1.9436832666397095]
932,[4.509847640991211]
933,[2.0039894580841064]
934,[0.7222015857696533]
935,[8.194831848144531]
936,[1.725179672241211]
937,[1.7886250019073486]
938,[1.0026166439056396]
939,[6.216368675231934]
940,[10.614627838134766]
941,[1.7352529764175415]
942,[1.2653887271881104]
943,[2.93349552154541]
944,[10.135868072509766]
945,[1.8108571767807007]
946,[4.597434043884277]
947,[1.2443268299102783]
948,[1.903927206993103]
949,[1.395729899406433]
950,[1.487448811531067]
951,[2.348022222518921]
952,[4.719165802001953]
953,[1.7046105861663818]
954,[3.8719470500946045]
955,[3.0055346488952637]
956,[1.085418462753296]
957,[1.6080844402313232]
958,[0.40060824155807495]
959,[0.8648016452789307]
960,[3.348269462585449]
961,[2.2714016437530518]
962,[1.0537694692611694]
963,[3.9162042140960693]
964,[0.6871737241744995]
965,[29.97297477722168]
966,[2.56838059425354]
967,[1.4638330936431885]
968,[1.576676845550537]
969,[10.050436019897461]
970,[1.215644121170044]
971,[6.218640327453613]
972,[4.364944934844971]
973,[2.199087142944336]
974,[1.5436933040618896]
975,[5.662070274353027]
976,[5.419039249420166]
977,[5.782738208770752]
978,[0.8649991154670715]
979,[0.8004512190818787]
980,[9.611857414245605]
981,[14.413999557495117]
982,[3.1809589862823486]
983,[2.3125293254852295]
984,[0.8659141063690186]
